PROCESS_DATE;PART_I_D;PART_CONSUMPTION
2023-02-07;119585;0.0
2023-02-07;118229;0.0
2023-02-07;119708;9.0
2023-02-07;117907;4.0
2023-02-07;213489;20.0
2023-02-07;111776;3.0
2023-02-07;103376;9.0
2023-02-08;119581;0.0
2023-02-08;118699;0.0
2023-02-08;119584;3.0
2023-02-08;118566;3.0
2023-02-08;119585;0.0
2023-02-08;118229;4.0
2023-02-08;119708;5.0
2023-02-08;117907;6.0
2023-02-08;213489;34.0
2023-02-08;111776;2.0
2023-02-08;103376;5.0
2023-02-09;119581;1.0
2023-02-09;118699;0.0
2023-02-09;119584;0.0
2023-02-09;118566;1.0
2023-02-09;119585;0.0
2023-02-09;118229;5.0
2023-02-09;119708;8.0
2023-02-09;117907;2.0
2023-02-09;213489;12.0
2023-02-09;111776;4.0
2023-02-09;103376;4.0
2023-02-10;119581;2.0
2023-02-10;118699;0.0
2023-02-10;119584;0.0
2023-02-10;118566;0.0
2023-02-10;119585;0.0
2023-02-10;118229;4.0
2023-02-10;119708;1.0
2023-02-10;117907;0.0
2023-02-10;213489;10.0
2023-02-10;111776;3.0
2023-02-10;103376;11.0
2023-02-11;119581;0.0
2023-02-11;118699;0.0
2023-02-11;119584;0.0
2023-02-11;118566;0.0
2023-02-11;119585;0.0
2023-02-11;118229;0.0
2023-02-11;119708;0.0
2023-02-11;117907;0.0
2023-02-11;213489;0.0
2023-02-11;111776;0.0
2023-02-11;103376;0.0
2023-02-12;119581;0.0
2023-02-12;118699;0.0
2023-02-12;119584;0.0
2023-02-12;118566;0.0
2023-02-12;119585;0.0
2023-02-12;118229;0.0
2023-02-12;119708;0.0
2023-02-12;117907;0.0
2023-02-12;213489;0.0
2023-02-12;111776;0.0
2023-02-12;103376;0.0
2023-02-13;119581;1.0
2023-02-13;118699;0.0
2023-02-13;119584;4.0
2023-02-13;118566;5.0
2023-02-13;119585;0.0
2023-02-13;118229;2.0
2023-02-13;119708;11.0
2023-02-13;117907;6.0
2023-02-13;213489;36.0
2023-02-13;111776;3.0
2023-02-13;103376;16.0
2023-02-14;119581;0.0
2023-02-14;118699;1.0
2023-02-14;119584;2.0
2023-02-14;118566;1.0
2023-02-14;119585;0.0
2023-02-14;118229;4.0
2023-02-14;119708;8.0
2023-02-14;117907;2.0
2023-02-14;213489;22.0
2023-02-14;111776;4.0
2023-02-14;103376;9.0
2023-02-15;119581;0.0
2023-02-15;118699;0.0
2023-02-15;119584;0.0
2023-02-15;118566;0.0
2023-02-15;119585;0.0
2023-02-15;118229;2.0
2023-02-15;119708;9.0
2023-02-15;117907;0.0
2023-02-15;213489;8.0
2023-02-15;111776;0.0
2023-02-15;103376;4.0
2023-02-16;119581;2.0
2023-02-16;118699;2.0
2023-02-16;119584;1.0
2023-02-16;118566;0.0
2023-02-16;119585;0.0
2023-02-16;118229;1.0
2023-02-16;119708;10.0
2023-02-16;117907;4.0
2023-02-16;213489;32.0
2023-02-16;111776;4.0
2023-02-16;103376;7.0
2023-02-17;119581;0.0
2023-02-17;118699;0.0
2023-02-17;119584;0.0
2023-02-17;118566;0.0
2023-02-17;119585;0.0
2023-02-17;118229;8.0
2023-02-17;119708;6.0
2023-02-17;117907;0.0
2023-02-17;213489;12.0
2023-02-17;111776;0.0
2023-02-17;103376;8.0
2023-02-18;119581;0.0
2023-02-18;118699;0.0
2023-02-18;119584;0.0
2023-02-18;118566;0.0
2023-02-18;119585;0.0
2023-02-18;118229;0.0
2023-02-18;119708;0.0
2023-02-18;117907;0.0
2023-02-18;213489;0.0
2023-02-18;111776;0.0
2023-02-18;103376;0.0
2023-02-19;119581;0.0
